Date,AMZN,BTC,NFLX
2015-08-13,529.659973,265.029999,123.730003
2015-08-14,531.52002,260.519989,123.389999
2015-08-17,535.219971,246.720001,125.360001
2015-08-18,535.02002,226,124.050003
2015-08-19,532.919983,234.660004,122.059998
2015-08-20,515.780029,232.399994,112.489998
2015-08-21,494.470001,229.539993,103.959999
2015-08-24,463.369995,220.509995,96.879997
2015-08-25,466.369995,224.970001,101.519997
2015-08-26,500.769989,222.729996,110.129997
2015-08-27,518.369995,231.639999,117.660004
2015-08-28,518.01001,228.5,117.629997
2015-08-31,512.890015,227.179993,115.029999
2015-09-01,496.540009,228.630005,105.790001
2015-09-02,510.549988,226.199997,105.440002
2015-09-03,504.720001,230.25,101.059998
2015-09-04,499,233.669998,98.790001
2015-09-08,517.539978,237.410004,94.949997
2015-09-09,516.890015,238.080002,99.18
2015-09-10,522.23999,239.899994,99.480003
2015-09-11,529.440002,235.600006,97.510002
2015-09-14,521.380005,229.529999,95.690002
2015-09-15,522.369995,228.600006,99.160004
2015-09-16,527.390015,232.720001,104.080002
2015-09-17,538.869995,232.210007,104.209999
2015-09-18,540.26001,231.110001,102.620003
2015-09-21,548.390015,230.009995,100.300003
2015-09-22,538.400024,229.889999,98.470001
2015-09-23,536.070007,233.759995,98.07
2015-09-24,533.75,235.029999,103.760002
2015-09-25,524.25,234.300003,102.239998
2015-09-28,504.059998,236.710007,99.470001
2015-09-29,496.070007,235.929993,98.349998
2015-09-30,511.890015,237.050003,103.260002
2015-10-01,520.719971,236.710007,105.980003
2015-10-02,532.539978,238.580002,106.110001
2015-10-05,543.679993,246.139999,111.25
2015-10-06,537.47998,242.979996,108.330002
2015-10-07,541.940002,242.580002,108.099998
2015-10-08,533.159973,244.039993,114.93
2015-10-09,539.799988,245.350006,113.330002
2015-10-12,550.190002,248.779999,113.449997
2015-10-13,548.900024,252.330002,109.730003
2015-10-14,544.830017,254.440002,110.230003
2015-10-15,562.440002,262.869995,101.089996
2015-10-16,570.76001,269.579987,98.989998
2015-10-19,573.150024,269.75,101.690002
2015-10-20,560.880005,267.109985,98.989998
2015-10-21,555.77002,274.420013,97.959999
2015-10-22,563.909973,276.920013,97.32
2015-10-23,599.030029,282.559998,100.040001
2015-10-26,608.609985,285.149994,103.040001
2015-10-27,611.01001,294.660004,103.07
2015-10-28,617.099976,303.540009,105.800003
2015-10-29,626.549988,313.630005,105.120003
2015-10-30,625.900024,327.119995,108.379997
2015-11-02,628.349976,359.279999,107.639999
2015-11-03,625.309998,396.48999,109.739998
2015-11-04,640.950012,400.890015,114.050003
2015-11-05,655.650024,382.700012,113.5
2015-11-06,659.369995,369.809998,114.059998
2015-11-09,655.48999,380.220001,109.860001
2015-11-10,659.679993,336.690002,112.699997
